Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
LC721739.1,,African cassava mosaic virus,Begomovirus manihotis,ACMV-CI-Man-CI32-17,DNA-A,"African cassava mosaic virus ACMV-CI-Man-CI32-17 DNA, segment DNA-A, complete sequence",2781,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2017-10-20
MN809985.1,,African cassava mosaic virus,Begomovirus manihotis,NG-001,DNA-A,"African cassava mosaic virus isolate NG-001 segment DNA-A, complete sequence",2781,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01
MN809986.1,,African cassava mosaic virus,Begomovirus manihotis,NG-002,DNA-A,"African cassava mosaic virus isolate NG-002 segment DNA-A, complete sequence",2781,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01
MN809987.1,,African cassava mosaic virus,Begomovirus manihotis,NG-003,DNA-A,"UNVERIFIED: African cassava mosaic virus isolate NG-003 segment DNA-A, complete sequence",2780,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01
MN809988.1,,African cassava mosaic virus,Begomovirus manihotis,NG-004,DNA-A,"UNVERIFIED: African cassava mosaic virus isolate NG-004 segment DNA-A, complete sequence",2780,complete,Nigeria,Nigeria,Manihot esculenta,2017-02-01
FJ807631.1,,Begomovirus manihotis,Begomovirus manihotis,Angola:Funda:2008,DNA-A,"African cassava mosaic virus isolate Angola:Funda:2008 segment DNA-A, complete sequence",2783,complete,Angola,Angola,Manihot esculenta,2008-04-26
KR476371.1,,Begomovirus manihotis,Begomovirus manihotis,BN:Con1017:14,DNA-A,"Begomovirus manihotis isolate BN:Con1017:14 segment DNA-A, complete sequence",2781,complete,Benin,Benin,Manihot esculenta,2014-08-10
LC658959.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Mil:BFW223-5B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Mil:BFW223-5B:16] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-03-06
LC658957.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Sag:BFW213-3B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Sag:BFW213-3B:16] DNA, segment: DNA-A, complete sequence",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-03-06
LC658958.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Mil:BFW223-4B:16],DNA-A,"African cassava mosaic virus ACMV-[BF:Mil:BFW223-4B:16] DNA, segment: DNA-A, complete sequence",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2016-03-11
