Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
KR476373.1,,Begomovirus manihotis,Begomovirus manihotis,BN:Con1058:14,DNA-B,"Begomovirus manihotis isolate BN:Con1058:14 segment DNA-B, complete sequence",2727,complete,Benin,Benin,Manihot esculenta,2014-08-10
LC659081.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Baz:BFW148-2N:15],DNA-B,"African cassava mosaic virus ACMV-[BF:Baz:BFW148-2N:15] DNA, segment: DNA-B, complete sequence",2731,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-27
LC659082.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Oro:BFW477-4B:17],DNA-B,"African cassava mosaic virus ACMV-[BF:Oro:BFW477-4B:17] DNA, segment: DNA-B, complete sequence",2727,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2017-05-20
LC722237.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-CI-Bou-CI7-2-17,DNA-B,"African cassava mosaic virus ACMV-CI-Bou-CI7-2-17 DNA, segment DNA-B, complete sequence",2729,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2017-09-20
PV297828.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Azag:CI277:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Azag:CI277:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-28
PV297822.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abois:CI10:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abois:CI10:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297823.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abois:CI36:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abois:CI36:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297825.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Adzop:CI284:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Adzop:CI284:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297824.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Adzop:CI57:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Adzop:CI57:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297827.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Anyam:CI275:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Anyam:CI275:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297833.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bonou:CI11:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bonou:CI11:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297834.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Daloa:CI152:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Daloa:CI152:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297835.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Daouk:CI113:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Daouk:CI113:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297836.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Duek:CI167:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Duek:CI167:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297837.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Ferke:CI277:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Ferke:CI277:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
