Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
NC_004676,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,
NC_004674,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA A,"East African cassava mosaic virus DNA A, complete sequence",2799,complete,Uganda,Uganda,,
LC917176,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_12_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_12_UG CP gene for coat protein, partial cds",392,partial,Cote d'Ivoire: San-Pedro,Cote d'Ivoire,Manihot esculenta,2025-04-03
LC917177,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_29_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_29_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: San-Pedro, Tabou",Cote d'Ivoire,Manihot esculenta,2025-04-04
LC917178,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_48_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_48_UG CP gene for coat protein, partial cds",389,partial,"Cote d'Ivoire: San-Pedro, Tabou",Cote d'Ivoire,Manihot esculenta,2025-04-05
LC917179,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_56_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_56_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: San-Pedro, Tabou",Cote d'Ivoire,Manihot esculenta,2025-04-06
LC917180,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_58_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_58_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: San-Pedro, Tabou",Cote d'Ivoire,Manihot esculenta,2025-04-06
LC917181,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_66_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_66_UG CP gene for coat protein, partial cds",377,partial,"Cote d'Ivoire: San-Pedro, Tabou",Cote d'Ivoire,Manihot esculenta,2025-04-06
LC917182,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_71_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_71_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: San-Pedro, Tabou",Cote d'Ivoire,Manihot esculenta,2025-04-06
LC917183,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_86_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_86_UG CP gene for coat protein, partial cds",392,partial,Cote d'Ivoire: Tai,Cote d'Ivoire,Manihot esculenta,2025-04-07
LC917184,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_98_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_98_UG CP gene for coat protein, partial cds",395,partial,Cote d'Ivoire: Tai,Cote d'Ivoire,Manihot esculenta,2025-04-08
LC917185,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_102_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_102_UG CP gene for coat protein, partial cds",392,partial,Cote d'Ivoire: Tai,Cote d'Ivoire,Manihot esculenta,2025-04-08
LC917186,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_114_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_114_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: Guiglo, Zro",Cote d'Ivoire,Manihot esculenta,2025-04-08
LC917187,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_124_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_124_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: Guiglo, Glopaoudi",Cote d'Ivoire,Manihot esculenta,2025-04-09
LC917188,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_127_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_127_UG CP gene for coat protein, partial cds",392,partial,"Cote d'Ivoire: Guiglo, Guezon",Cote d'Ivoire,Manihot esculenta,2025-04-09
LC917189,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_139_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_139_UG CP gene for coat protein, partial cds",389,partial,Cote d'Ivoire: Blolequin,Cote d'Ivoire,Manihot esculenta,2025-04-09
LC917190,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_144_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_144_UG CP gene for coat protein, partial cds",392,partial,Cote d'Ivoire: Blolequin,Cote d'Ivoire,Manihot esculenta,2025-04-09
LC917191,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_163_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_163_UG CP gene for coat protein, partial cds",392,partial,Cote d'Ivoire: Blolequin,Cote d'Ivoire,Manihot esculenta,2025-04-10
LC917192,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,CI_165_UG,DNA-A,"East African cassava mosaic virus - Uganda CI_165_UG CP gene for coat protein, partial cds",392,partial,Cote d'Ivoire: Blolequin,Cote d'Ivoire,Manihot esculenta,2025-04-10
