Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
J02057.1,,African cassava mosaic virus,Begomovirus manihotis,West Kenyan 844,DNA1,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,
J02058.1,,African cassava mosaic virus,Begomovirus manihotis,West Kenyan 844,DNA2,"African cassava mosaic virus isolate West Kenyan 844 segment DNA2, complete sequence",2724,complete,,,Manihot esculenta,
MW788220.1,,African cassava mosaic virus,Begomovirus manihotis,CF:Bambari:1928,DNA-A,"UNVERIFIED: African cassava mosaic virus isolate CF:Bambari:1928 segment DNA-A genomic sequence, sequence",2812,complete,Central African Republic,Central African Republic,Manihot glaziovii,1928
MW788219.1,,African cassava mosaic virus,Begomovirus manihotis,CF:Bambari:1928,DNA-B,"UNVERIFIED: African cassava mosaic virus isolate CF:Bambari:1928 segment DNA-B genomic sequence, sequence",2727,complete,Central African Republic,Central African Republic,Manihot glaziovii,1928
PP503026.1,,African cassava mosaic virus,Begomovirus manihotis,DSMZ PV-0095,DNA A,"African cassava mosaic virus isolate DSMZ PV-0095 segment DNA A, complete sequence",2779,complete,Kenya,Kenya,Manihot esculenta,
PP503027.1,,African cassava mosaic virus,Begomovirus manihotis,DSMZ PV-0095,DNA B,"African cassava mosaic virus isolate DSMZ PV-0095 segment DNA B, complete sequence",2722,complete,Kenya,Kenya,Manihot esculenta,
AF112352.1,,African cassava mosaic virus-[Cameroon],Begomovirus manihotis,,component A,"African cassava mosaic virus-[Cameroon] component A, complete sequence",2777,complete,Cameroon: southwestern rainforest region,Cameroon,,
AF112353.1,,African cassava mosaic virus-[Cameroon],Begomovirus manihotis,,component B,"African cassava mosaic virus-[Cameroon] component B, complete sequence",2726,complete,Cameroon: southwestern rainforest region,Cameroon,,
AF259894.1,,African cassava mosaic virus-[Ivory Coast],Begomovirus manihotis,,DNA-A,"African cassava mosaic virus-[Ivory Coast] DNA-A, complete sequence",2781,complete,Cote d'Ivoire,Cote d'Ivoire,,
AF259895.1,,African cassava mosaic virus-[Ivory Coast],Begomovirus manihotis,,DNA-B,"African cassava mosaic virus-[Ivory Coast] DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,,
