Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
KT799138,,Deinbollia mosaic virus DB_T0,Begomovirus manihotisafricaense,DB_T0,A,"Deinbollia mosaic virus DB_T0 segment A, complete sequence",2761,complete,Tanzania,Tanzania,,2012-04-20
MF974568,,East African cassava mosaic virus (Uganda variant),Begomovirus manihotisafricaense,EACMV-UG_2S-R,DNA-A,"East African cassava mosaic virus (Uganda variant) isolate EACMV-UG_2S-R segment DNA-A, complete sequence",2798,complete,Kenya,Kenya,Markhamia zanzibarica,2017-05-15
JN941177,,East African cassava mosaic virus,Begomovirus manihotisafricaense,AO7,A,"East African cassava mosaic virus isolate AO7 segment A, complete sequence",2799,complete,Angola,Angola,Manihot esculenta,2009-01-08
KM885993,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF24B:07,B,"East African cassava mosaic virus isolate CF:CF24B:07 segment B, complete sequence",2773,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-10
KM886004,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF30B:07,B,"East African cassava mosaic virus isolate CF:CF30B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-10
KM885991,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF44B:07,B,"East African cassava mosaic virus isolate CF:CF44B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-13
KM885990,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF54B:07,B,"East African cassava mosaic virus isolate CF:CF54B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14
KM885992,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF553B:07,B,"East African cassava mosaic virus isolate CF:CF553B:07 segment B, complete sequence",2773,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14
KM885998,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF57BE:07,B,"East African cassava mosaic virus isolate CF:CF57BE:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-14
KM885996,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF783B:07,B,"East African cassava mosaic virus isolate CF:CF783B:07 segment B, complete sequence",2774,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-19
KM886001,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF102BE:07,B,"East African cassava mosaic virus isolate CF:CF102BE:07 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25
KM885999,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF105BE:07,B,"East African cassava mosaic virus isolate CF:CF105BE:07 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25
KM886000,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF112BE:07,B,"East African cassava mosaic virus isolate CF:CF112BE:07 segment B, complete sequence",2778,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-25
KM886003,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF1223B:07,B,"East African cassava mosaic virus isolate CF:CF1223B:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-26
KM885994,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF139BE:07,B,"East African cassava mosaic virus isolate CF:CF139BE:07 segment B, complete sequence",2776,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-28
KM886005,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF140BE:07,B,"East African cassava mosaic virus isolate CF:CF140BE:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-29
KM886002,,East African cassava mosaic virus,Begomovirus manihotisafricaense,CF:CF150BE:07,B,"East African cassava mosaic virus isolate CF:CF150BE:07 segment B, complete sequence",2775,complete,Central African Republic,Central African Republic,Manihot esculenta,2007-08-30
