Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
KT780440.1,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,GQ:Bioko:GQ006:13,DNA-A,"East African cassava mosaic virus - Uganda isolate GQ:Bioko:GQ006:13 segment DNA-A, complete sequence",2798,complete,Equatorial Guinea,Equatorial Guinea,Manihot esculenta,2013-12-15
KT780439.1,,East African cassava mosaic virus - Uganda,Begomovirus manihotisafricaense,GQ:Bioko:GQ006:13,DNA-B,"East African cassava mosaic virus - Uganda isolate GQ:Bioko:GQ006:13 segment DNA-B, complete sequence",2775,complete,Equatorial Guinea,Equatorial Guinea,Manihot esculenta,2013-12-15
MZ494482.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Ngazidja1.1,DNA-A,"East African cassava mosaic virus isolate Comoros:Ngazidja1.1 segment DNA-A, complete sequence",2802,complete,Comoros,Comoros,Manihot esculenta,2019-07-02
MZ494476.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Ngazidja1.1,DNA-B,"East African cassava mosaic virus isolate Comoros:Ngazidja1.1 segment DNA-B, complete sequence",2752,complete,Comoros,Comoros,Manihot esculenta,2019-07-02
MZ570970.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV K401,DNA-A,"East African cassava mosaic virus isolate EACMV K401 segment DNA-A, complete sequence",2801,complete,Kenya,Kenya,Manihot esculenta,2018-11-15
MZ570971.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV K401,DNA-B,"East African cassava mosaic virus isolate EACMV K401 segment DNA-B, complete sequence",2754,complete,Kenya,Kenya,Manihot esculenta,2018-11-15
OL444942.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,DSMZ PV-1302,DNA A,"East African cassava mosaic virus isolate DSMZ PV-1302 segment DNA A, complete sequence",2798,complete,Rwanda: Huye,Rwanda,Manihot esculenta,
OL444943.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,DSMZ PV-1302,DNA B,"East African cassava mosaic virus isolate DSMZ PV-1302 segment DNA B, complete sequence",2775,complete,Rwanda: Huye,Rwanda,Manihot esculenta,
NC_004674.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA A,"East African cassava mosaic virus DNA A, complete sequence",2799,complete,Uganda,Uganda,,
NC_004676.1,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,
