Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
NC_001467.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA A,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,
NC_001468.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA B,"African cassava mosaic virus isolate West Kenyan 844 segment DNA2, complete sequence",2724,complete,,,Manihot esculenta,
PV297817.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abeng:CI51:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abeng:CI51:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-28
PV297818.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abeng:CI55:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abeng:CI55:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297819.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI6:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI6:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297820.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI92:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI92:20] segment DNA-B, complete sequence",2729,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297821.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI99:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI99:20] segment DNA-B, complete sequence",2720,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297822.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abois:CI10:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abois:CI10:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297823.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abois:CI36:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abois:CI36:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297824.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Adzop:CI57:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Adzop:CI57:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297825.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Adzop:CI284:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Adzop:CI284:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297826.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Alepe:CI16:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Alepe:CI16:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29
PV297827.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Anyam:CI275:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Anyam:CI275:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30
PV297828.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Azag:CI277:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Azag:CI277:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-28
PV297829.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bass:CI1:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bass:CI1:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297830.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bondou:CI329:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bondou:CI329:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297831.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bondou:CI339:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bondou:CI339:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297832.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bongou:CI109:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bongou:CI109:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01
PV297833.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bonou:CI11:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bonou:CI11:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297834.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Daloa:CI152:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Daloa:CI152:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297835.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Daouk:CI113:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Daouk:CI113:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297836.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Duek:CI167:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Duek:CI167:20] segment DNA-B, complete sequence",2725,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
PV297837.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Ferke:CI277:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Ferke:CI277:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-22
