Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
LC658342.1,,Begomovirus manihotis,Begomovirus manihotis,BFW004-4B,,"African cassava mosaic virus BFW004-4B DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-21
LC658343.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Sam:BFW004-6B:15],,"African cassava mosaic virus ACMV-[BF:Sam:BFW004-6B:15] DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-21
LC658344.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Oro:BFW020-4H:15],,"African cassava mosaic virus ACMV-[BF:Oro:BFW020-4H:15] DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-22
LC658345.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Oro:BFW021-9E:15],,"African cassava mosaic virus ACMV-[BF:Oro:BFW021-9E:15] DNA, complete genome",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-08-22
LC658346.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Dia:BFW060-12B:15],,"African cassava mosaic virus ACMV-[BF:Dia:BFW060-12B:15] DNA, complete genome",2783,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-11
LC658347.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Naf:BFW067-11B:15],,"African cassava mosaic virus ACMV-[BF:Naf:BFW067-11B:15] DNA, complete genome",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-12
LC658348.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Baz:BFW148-3B:15],,"African cassava mosaic virus ACMV-[BF:Baz:BFW148-3B:15] DNA, complete genome",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-27
LC658956.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-[BF:Baz:BFW148-10B:15],,"African cassava mosaic virus ACMV-[BF:Baz:BFW148-10B:15] DNA, complete genome",2782,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2015-09-27
JX658682.1,,Begomovirus manihotis,Begomovirus manihotis,,,"UNVERIFIED: African cassava mosaic virus clone ACMV[Ma:07:4N] AV2 gene, complete cds; CP-like gene, complete sequence; and REn, TrAP, and Rep genes, complete cds",2812,complete,Malawi,Malawi,Manihot esculenta,
HM468428.1,,Begomovirus manihotis,Begomovirus manihotis,,,"African cassava mosaic virus strain Pakistan/Multan/Tomentosum/08, complete genome",2790,complete,Pakistan,Pakistan,Gossypium tomentosum,2008-04
FJ751233.1,,African cassava mosaic virus-cotton,Begomovirus manihotis,,,"African cassava mosaic virus-cotton clone ACMV-Punc19, complete genome",2756,complete,Pakistan,Pakistan,Gossypium hirsutum var. punctatum,2006-11
FJ751234.1,,African cassava mosaic virus-cotton,Begomovirus manihotis,,,"African cassava mosaic virus-cotton clone ACMV-Lob1, complete genome",2781,complete,Pakistan,Pakistan,Gossypium lobatum,2008-03
FJ751235.1,,African cassava mosaic virus-cotton,Begomovirus manihotis,,,"African cassava mosaic virus-cotton clone ACMV-Gos1, complete genome",2779,complete,Pakistan,Pakistan,Gossypium gossypioides,2008-03
FM877473.1,,Begomovirus manihotis,Begomovirus manihotis,Burkina Faso-Kamboinse-2008,,"African cassava mosaic virus complete genome, isolate Burkina Faso-Kamboinse-2008",2781,complete,Burkina Faso,Burkina Faso,Manihot esculenta,2008-09
