Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_004676,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA B,"East African cassava mosaic virus DNA B, complete sequence",2777,complete,Uganda,Uganda,,,B,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda || uganda ||  ||  || 
NC_004674,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA A,"East African cassava mosaic virus DNA A, complete sequence",2799,complete,Uganda,Uganda,,,A,,, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || uganda || uganda ||  ||  || 
PV524653,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Senegal-SN88SF-2023,,"East African cassava mosaic virus isolate Senegal-SN88SF-2023, complete genome",2798,complete,Senegal,Senegal,,2023-11,UNKNOWN,senegal-sn88sf-2023,senegal-sn88sf-2023, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || senegal || senegal ||  || 2023-11 || senegal-sn88sf-2023
PV524654,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Senegal-SN88SA-2023,,"East African cassava mosaic virus isolate Senegal-SN88SA-2023, complete genome",2798,complete,Senegal,Senegal,,2023-11,UNKNOWN,senegal-sn88sa-2023,senegal-sn88sa-2023, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || senegal || senegal ||  || 2023-11 || senegal-sn88sa-2023
LC832863,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Forecariah:07,DNA-A,"East African cassava mosaic virus Forecariah:07 DNA, segment DNA-A, complete genome",2799,complete,Guinea:Forecariah,Guinea,,2023-07-31,A,forecariah:07,forecariah:07, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || guinea:forecariah || guinea ||  || 2023-07-31 || forecariah:07
LC832864,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Forecariah:23,DNA-B,"East African cassava mosaic virus Forecariah:23 DNA, segment DNA-B, complete genome",2774,complete,Guinea:Forecariah,Guinea,Manihot esculenta,2023-07-31,B,forecariah:23,forecariah:23, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || guinea:forecariah || guinea || manihot esculenta || 2023-07-31 || forecariah:23
LC832865,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-Ug-DNA-B,,"East African cassava mosaic virus EACMV-Ug-DNA-B DNA, complete genome",2777,complete,Guinea:Forecariah,Guinea,,2023-07-31,B,eacmv-ug-dna-b,eacmv-ug-dna, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || guinea:forecariah || guinea ||  || 2023-07-31 || eacmv-ug-dna
MT821897,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Ls-Ru-ZM02-E,DNA-A,"East African cassava mosaic virus isolate Ls-Ru-ZM02-E segment DNA-A, complete sequence",2799,complete,Zambia,Zambia,Manihot esculenta,2013,A,ls-ru-zm02-e,ls-ru-zm02-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || ls-ru-zm02-e
MT821898,,East African cassava mosaic virus,Begomovirus manihotisafricaense,E-Ln-ZM07-E,DNA-A,"East African cassava mosaic virus isolate E-Ln-ZM07-E segment DNA-A, complete sequence",2799,complete,Zambia,Zambia,Manihot esculenta,2013,A,e-ln-zm07-e,e-ln-zm07-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || e-ln-zm07-e
MT821899,,East African cassava mosaic virus,Begomovirus manihotisafricaense,E-Ln-ZM08-E,DNA-A,"East African cassava mosaic virus isolate E-Ln-ZM08-E segment DNA-A, complete sequence",2799,complete,Zambia,Zambia,Manihot esculenta,2013,A,e-ln-zm08-e,e-ln-zm08-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || e-ln-zm08-e
MT821900,,East African cassava mosaic virus,Begomovirus manihotisafricaense,E-Ln-ZM09-E,DNA-A,"East African cassava mosaic virus isolate E-Ln-ZM09-E segment DNA-A, complete sequence",2799,complete,Zambia,Zambia,Manihot esculenta,2013,A,e-ln-zm09-e,e-ln-zm09-e, || east african cassava mosaic virus || begomovirus manihotisafricaense || complete || zambia || zambia || manihot esculenta || 2013 || e-ln-zm09-e
