Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Submitters,Collection_Date
NC_009334.1,,Human herpesvirus 4 type 2,Lymphocryptovirus humangamma4,,,"Human herpesvirus 4, complete genome",172764,complete,,,Homo sapiens,"Dolan,A., Addison,C., Gatherer,D., Davison,A.J., McGeoch,D.J., Rickinson,A.B.",
NC_007605.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4, complete genome",171823,complete,,,Homo sapiens,"de Jesus,O., Smith,P.R., Spender,L.C., Elgueta Karstegl,C., Niller,H.H., Huang,D., Farrell,P.J., Parker,B.D., Bankier,A., Satchwell,S., Barrell,B., Hatfull,G., Bankier,A.T., Barrell,B.G., Baer,R., Biggin,M.D., Deininger,P.L., Gibson,T.J., Hudson,G.S., Satchwell,S.C., Seguin,C., Tuffnell,P.S., Jones,M.D., Foster,L., Sheedy,T., Griffin,B.E., Jeang,K.T., Hayward,S.D., Davison,A.J.",
OR134765.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,B95-8,,"Human gammaherpesvirus 4 isolate B95-8, complete genome",162698,complete,United Kingdom,United Kingdom,Simiiformes,"Liu,J., Che,H., Sia,Y.Y.",2012-04-04
OR134766.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,C17,,"Human gammaherpesvirus 4 isolate C17, complete genome",166363,complete,France,France,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2019-05-24
OR134767.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,C666-1,,"Human gammaherpesvirus 4 isolate C666-1, complete genome",171946,complete,China,China,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2012-04-04
OR134768.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,M81,,"Human gammaherpesvirus 4 isolate M81, complete genome",170964,complete,China,China,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2012-04-04
OR134769.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,NPC43,,"Human gammaherpesvirus 4 isolate NPC43, complete genome",173200,complete,China,China,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2019-02-25
OR134770.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,Raji,,"Human gammaherpesvirus 4 isolate Raji, complete genome",171437,complete,Nigeria,Nigeria,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2012-04-04
OR134771.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,SNU-719,,"Human gammaherpesvirus 4 isolate SNU-719, complete genome",169424,complete,South Korea,South Korea,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2012-04-04
OR134772.1,,human gammaherpesvirus 4,Lymphocryptovirus humangamma4,YCC-10,,"Human gammaherpesvirus 4 isolate YCC-10, complete genome",176176,complete,South Korea,South Korea,Homo sapiens,"Liu,J., Che,H., Sia,Y.Y.",2012-06-06
LC573550.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T2.27 DNA, complete genome",173173,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
LC573551.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T3.27 DNA, complete genome",169127,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
LC573552.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T12.18 DNA, complete genome",183865,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
LC573553.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T12.20 DNA, complete genome",170473,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
LC573554.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T12.22 DNA, complete genome",168759,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
LC573555.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T12.11 DNA, complete genome",166441,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
LC573556.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 sLCL-T1.12 DNA, complete genome",170672,complete,,,,"Kanda,T., Yajima,M., Ikuta,T.",
MK973061.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 strain IM-3, complete genome",170183,complete,Germany: Heidelberg,Germany,Homo sapiens,"Delecluse,S., Delecluse,H.-J.J., Poirey,R.",2014-09-25
MK973062.1,,Human gammaherpesvirus 4,Lymphocryptovirus humangamma4,,,"Human gammaherpesvirus 4 strain rMSHJ, complete genome",164674,complete,Germany: Heidelberg,Germany,Homo sapiens,"Delecluse,S., Delecluse,H.-J.J., Poirey,R.",2015-01-16
