Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_001467.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA A,"African cassava mosaic virus isolate West Kenyan 844 segment DNA1, complete sequence",2779,complete,,,Manihot esculenta,,A,west kenyan 844,west kenyan 844, || begomovirus manihotis || begomovirus manihotis || complete ||  ||  || manihot esculenta ||  || west kenyan 844
NC_001468.1,,Begomovirus manihotis,Begomovirus manihotis,West Kenyan 844,DNA B,"African cassava mosaic virus isolate West Kenyan 844 segment DNA2, complete sequence",2724,complete,,,Manihot esculenta,,B,west kenyan 844,west kenyan 844, || begomovirus manihotis || begomovirus manihotis || complete ||  ||  || manihot esculenta ||  || west kenyan 844
PV297817.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abeng:CI51:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abeng:CI51:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-28,B,acmv-b[ci:abeng:ci51:20],acmv-b[ci:abeng:ci51:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-28 || acmv-b[ci:abeng:ci51:20]
PV297818.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abeng:CI55:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abeng:CI55:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:abeng:ci55:20],acmv-b[ci:abeng:ci55:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:abeng:ci55:20]
PV297819.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI6:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI6:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:abidj:ci6:20],acmv-b[ci:abidj:ci6:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:abidj:ci6:20]
PV297820.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI92:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI92:20] segment DNA-B, complete sequence",2729,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:abidj:ci92:20],acmv-b[ci:abidj:ci92:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:abidj:ci92:20]
PV297821.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abidj:CI99:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abidj:CI99:20] segment DNA-B, complete sequence",2720,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:abidj:ci99:20],acmv-b[ci:abidj:ci99:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:abidj:ci99:20]
PV297822.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abois:CI10:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abois:CI10:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30,B,acmv-b[ci:abois:ci10:20],acmv-b[ci:abois:ci10:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-07-30 || acmv-b[ci:abois:ci10:20]
PV297823.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Abois:CI36:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Abois:CI36:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30,B,acmv-b[ci:abois:ci36:20],acmv-b[ci:abois:ci36:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-07-30 || acmv-b[ci:abois:ci36:20]
PV297824.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Adzop:CI57:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Adzop:CI57:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30,B,acmv-b[ci:adzop:ci57:20],acmv-b[ci:adzop:ci57:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-07-30 || acmv-b[ci:adzop:ci57:20]
PV297825.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Adzop:CI284:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Adzop:CI284:20] segment DNA-B, complete sequence",2723,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30,B,acmv-b[ci:adzop:ci284:20],acmv-b[ci:adzop:ci284:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-07-30 || acmv-b[ci:adzop:ci284:20]
PV297826.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Alepe:CI16:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Alepe:CI16:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-08-29,B,acmv-b[ci:alepe:ci16:20],acmv-b[ci:alepe:ci16:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-08-29 || acmv-b[ci:alepe:ci16:20]
PV297827.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Anyam:CI275:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Anyam:CI275:20] segment DNA-B, complete sequence",2724,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-30,B,acmv-b[ci:anyam:ci275:20],acmv-b[ci:anyam:ci275:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-07-30 || acmv-b[ci:anyam:ci275:20]
PV297828.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Azag:CI277:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Azag:CI277:20] segment DNA-B, complete sequence",2726,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-07-28,B,acmv-b[ci:azag:ci277:20],acmv-b[ci:azag:ci277:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-07-28 || acmv-b[ci:azag:ci277:20]
PV297829.1,,Begomovirus manihotis,Begomovirus manihotis,ACMV-B[CI:Bass:CI1:20],DNA-B,"Begomovirus manihotis isolate ACMV-B[CI:Bass:CI1:20] segment DNA-B, complete sequence",2727,complete,Cote d'Ivoire,Cote d'Ivoire,Manihot esculenta,2020-09-01,B,acmv-b[ci:bass:ci1:20],acmv-b[ci:bass:ci1:20], || begomovirus manihotis || begomovirus manihotis || complete || cote d'ivoire || cote d'ivoire || manihot esculenta || 2020-09-01 || acmv-b[ci:bass:ci1:20]
