Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
NC_001806.2,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,,,"Human herpesvirus 1 strain 17, complete genome",152222,complete,"United Kingdom: Regional Virus Laboratory, Ruchill Hospital, Glasgow",United Kingdom,,
PZ169677.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,A_d6_skin_culture,,"Human alphaherpesvirus 1 strain A_d6_skin_culture, complete genome",150736,complete,USA,USA,Homo sapiens,2009/2016
PZ169678.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,A_d6_skin,,"Human alphaherpesvirus 1 strain A_d6_skin, complete genome",150663,complete,USA,USA,Homo sapiens,2009/2016
PZ169679.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,A_d6_swab_culture,,"Human alphaherpesvirus 1 strain A_d6_swab_culture, complete genome",150493,complete,USA,USA,Homo sapiens,2009/2016
PZ169681.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,A_d7_eye_culture,,"Human alphaherpesvirus 1 strain A_d7_eye_culture, complete genome",150698,complete,USA,USA,Homo sapiens,2009/2016
PZ169683.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,A_d7_plasma,,"Human alphaherpesvirus 1 strain A_d7_plasma, complete genome",149922,complete,USA,USA,Homo sapiens,2009/2016
PZ169687.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,X_d8_skin,,"Human alphaherpesvirus 1 strain X_d8_skin, complete genome",151207,complete,USA,USA,Homo sapiens,2009/2016
PZ169688.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,Y_d8_eye,,"Human alphaherpesvirus 1 strain Y_d8_eye, complete genome",152571,complete,USA,USA,Homo sapiens,2009/2016
PZ169689.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,Y_d8_skin_culture,,"Human alphaherpesvirus 1 strain Y_d8_skin_culture, complete genome",150583,complete,USA,USA,Homo sapiens,2009/2016
PZ169690.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,Y_d8_skin,,"Human alphaherpesvirus 1 strain Y_d8_skin, complete genome",152426,complete,USA,USA,Homo sapiens,2009/2016
PZ169693.1,,Human alphaherpesvirus 1,Simplexvirus humanalpha1,W_d15_skin_culture,,"Human alphaherpesvirus 1 strain W_d15_skin_culture, complete genome",150277,complete,USA,USA,Homo sapiens,2009/2016
