Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
JF909200.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ03AN3:2004,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ03AN3:2004 segment DNA-B, complete sequence",2764,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004
JF909201.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ04AS3:2004,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ04AS3:2004 segment DNA-B, complete sequence",2764,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2004
JF909202.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ10AK1:2005,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ10AK1:2005 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2005
JF909203.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ15AK2:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ15AK2:2009 segment DNA-B, complete sequence",2766,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909204.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ19AQ1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ19AQ1:2009 segment DNA-B, complete sequence",2761,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909205.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ20AF3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ20AF3:2009 segment DNA-B, complete sequence",2764,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909206.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ21AI3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ21AI3:2009 segment DNA-B, complete sequence",2765,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909207.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ23AS3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ23AS3:2009 segment DNA-B, complete sequence",2768,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909208.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ23BE1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ23BE1:2009 segment DNA-B, complete sequence",2768,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909209.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ24AY3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ24AY3:2009 segment DNA-B, complete sequence",2765,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909210.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ25AE4:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ25AE4:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909211.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ29AQ1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ29AQ1:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909212.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Anjouan:AJ31AW1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Anjouan:AJ31AW1:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Anjouan,Comoros,Manihot esculenta,2009
JF909215.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC16AZ1:2004,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC16AZ1:2004 segment DNA-B, complete sequence",2754,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004
JF909095.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC16B00:2004,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC16B00:2004 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004
JF909098.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC21AT2:2004,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC21AT2:2004 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004
JF909078.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC01B01:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC01B01:2005 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005
JF909079.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC03B13:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC03B13:2005 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005
JF909081.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC04B19:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC04B19:2005 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005
JF909080.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC03E02:2006,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC03E02:2006 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2006
JF909213.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC07AI3:2008,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC07AI3:2008 segment DNA-B, complete sequence",2744,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909083.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC07B31:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC07B31:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909085.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC09B43:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC09B43:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909086.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC10B53:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC10B53:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909087.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC11AA6:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11AA6:2008 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909088.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC11B32:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11B32:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909089.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC11B55:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11B55:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909214.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC12AD4:2008,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC12AD4:2008 segment DNA-B, complete sequence",2745,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909091.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC14B73:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC14B73:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909093.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC15B21:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC15B21:2008 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909216.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC26AA1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC26AA1:2009 segment DNA-B, complete sequence",2755,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909100.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC26BA1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC26BA1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909101.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC27AG1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC27AG1:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909102.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC27BF1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC27BF1:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909103.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC28AK1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC28AK1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909104.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC29AK1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC29AK1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909105.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC29BG1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC29BG1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909107.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC31AB2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC31AB2:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909108.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC31BL1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC31BL1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909109.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC31BT1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC31BT1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909112.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC33BD2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC33BD2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909113.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC33BN1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC33BN1:2009 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909217.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC34AA1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC34AA1:2009 segment DNA-B, complete sequence",2754,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909114.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC35BC1:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC35BC1:2009 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909218.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC40AF3:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC40AF3:2009 segment DNA-B, complete sequence",2770,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909116.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC40BR2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC40BR2:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909219.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC40BY1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC40BY1:2009 segment DNA-B, complete sequence",2770,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909220.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC45AF1:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC45AF1:2009 segment DNA-B, complete sequence",2767,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909122.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC49AI4:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC49AI4:2009 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909123.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC49BE3:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC49BE3:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909124.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC49BO2:2009,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC49BO2:2009 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
JF909221.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC50AM4:2009,DNA-B,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC50AM4:2009 segment DNA-B, complete sequence",2750,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2009
