Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
JF909095.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC16B00:2004,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC16B00:2004 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004
JF909098.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC21AT2:2004,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC21AT2:2004 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2004
JF909078.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC01B01:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC01B01:2005 segment DNA-A, complete sequence",2797,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005
JF909079.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC03B13:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC03B13:2005 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005
JF909081.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC04B19:2005,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC04B19:2005 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2005
JF909080.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC03E02:2006,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC03E02:2006 segment DNA-A, complete sequence",2798,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2006
JF909083.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC07B31:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC07B31:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909085.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC09B43:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC09B43:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909086.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC10B53:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC10B53:2008 segment DNA-A, complete sequence",2799,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
JF909087.1,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Comoros:Grande-Comore:GC11AA6:2008,DNA-A,"East African cassava mosaic Kenya virus isolate Comoros:Grande-Comore:GC11AA6:2008 segment DNA-A, complete sequence",2800,complete,Comoros: Grande-Comore,Comoros,Manihot esculenta,2008
