Accession,GenBank_RefSeq,Assembly,SRA_Accession,BioSample,BioProject,Organism_Name,Species,Genus,Family,Genotype,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,USA,Host,Tissue_Specimen_Source,Submitters,Organization,Org_location,Publications,Collection_Date,Release_Date,Molecule_type,Component,Isolate_Clean,Isolate_Pair_Core,Pair_Key
NC_011583.1,RefSeq,GCF_000882315.1,,,PRJNA485481,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,EACMKV-[K298],DNA A,"East African cassava mosaic Kenya virus DNA A, complete genome",2797,complete,"Kenya:Machakos, Mitaboni/Ngiini",Kenya,,Manihot esculenta,,"Bull,S.E., Briddon,R.W., Sserubombwe,W.S., Ngugi,K., Markham,P.G., Stanley,J.","National Center for Biotechnology Information, NIH",USA,1,,2008-11-14,ssDNA(+/-),A,eacmkv-[k298],eacmkv-[k298]," || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || kenya:machakos, mitaboni/ngiini || kenya || manihot esculenta ||  || eacmkv-[k298]"
NC_011584.1,RefSeq,GCF_000882315.1,,,PRJNA485481,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,EACMKV-[K298],DNA B,"East African cassava mosaic Kenya virus DNA B, complete genome",2776,complete,"Kenya:Machakos, Mitaboni/Ngiini",Kenya,,Manihot esculenta,,"Bull,S.E., Briddon,R.W., Sserubombwe,W.S., Ngugi,K., Markham,P.G., Stanley,J.","National Center for Biotechnology Information, NIH",USA,1,,2008-11-14,ssDNA(+/-),B,eacmkv-[k298],eacmkv-[k298]," || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || kenya:machakos, mitaboni/ngiini || kenya || manihot esculenta ||  || eacmkv-[k298]"
KJ887581.1,GenBank,set:c580c349be5d2ac4fa2c42daf330ade11ad8a93f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG635A6:11,A,"East African cassava mosaic Kenya virus isolate MG:MG635A6:11 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2011-07-04,2014-09-24,ssDNA(+/-),A,mg:mg635a6:11,mg:mg635a6:11, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2011-07-04 || mg:mg635a6:11
KJ887687.1,GenBank,set:08b2a8b705cd8cbdfb66b04f04f06ee62888fab2,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG253A1:10,B,"East African cassava mosaic Kenya virus isolate MG:MG253A1:10 segment B, complete sequence",2687,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-04-29,2014-09-24,ssDNA(+/-),B,mg:mg253a1:10,mg:mg253a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-04-29 || mg:mg253a1:10
KJ887689.1,GenBank,set:5168e3098723c4065715c320994cb18577363730,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG273A1:10,B,"East African cassava mosaic Kenya virus isolate MG:MG273A1:10 segment B, complete sequence",2768,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-05-01,2014-09-24,ssDNA(+/-),B,mg:mg273a1:10,mg:mg273a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-05-01 || mg:mg273a1:10
KJ887691.1,GenBank,set:46437c442a3edd883c1c4619343ebce7896425d3,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG295A1:10,B,"East African cassava mosaic Kenya virus isolate MG:MG295A1:10 segment B, complete sequence",2735,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2010-05-03,2014-09-24,ssDNA(+/-),B,mg:mg295a1:10,mg:mg295a1:10, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2010-05-03 || mg:mg295a1:10
KJ887829.1,GenBank,set:493ffb14991bd08c3728eab83ea4f4c2d44bdf20,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG9B2:07,A,"East African cassava mosaic Kenya virus isolate MG:MG9B2:07 segment A, complete sequence",2797,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2006-01-05,2014-09-24,ssDNA(+/-),A,mg:mg9b2:07,mg:mg9b2:07, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2006-01-05 || mg:mg9b2:07
KJ887830.1,GenBank,set:a9e36c3544fe2b496fa410c4e8b9e9d7d180245f,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG10A48:06,A,"East African cassava mosaic Kenya virus isolate MG:MG10A48:06 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2006-01-05,2014-09-24,ssDNA(+/-),A,mg:mg10a48:06,mg:mg10a48:06, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2006-01-05 || mg:mg10a48:06
KJ887831.1,GenBank,set:9652b339cdae4180ae1c7c9c9383720f48297e1c,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG11A3:06,A,"East African cassava mosaic Kenya virus isolate MG:MG11A3:06 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2006-01-05,2014-09-24,ssDNA(+/-),A,mg:mg11a3:06,mg:mg11a3:06, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2006-01-05 || mg:mg11a3:06
KJ887903.1,GenBank,set:9a9721bbe01b8d8f03457efae091afe68919afde,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG90A1:07,A,"East African cassava mosaic Kenya virus isolate MG:MG90A1:07 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2007-01-05,2014-09-24,ssDNA(+/-),A,mg:mg90a1:07,mg:mg90a1:07, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2007-01-05 || mg:mg90a1:07
KJ887939.1,GenBank,set:fe7c2e34b309fa69a2a0b5be2731188510977f5d,,,,East African cassava mosaic Kenya virus,Begomovirus manihotiskenyaense,Begomovirus,Geminiviridae,,MG:MG169A1:09,A,"East African cassava mosaic Kenya virus isolate MG:MG169A1:09 segment A, complete sequence",2798,complete,Madagascar,Madagascar,,Manihot esculenta,,"Hoareau,M., Harimalala,M., Zinga,I., De Bruyn,A., Lett,J.-M., Lefeuvre,P.","CIRAD, UMR PVBMT",France,,2009-06-02,2014-09-24,ssDNA(+/-),A,mg:mg169a1:09,mg:mg169a1:09, || east african cassava mosaic kenya virus || begomovirus manihotiskenyaense || complete || madagascar || madagascar || manihot esculenta || 2009-06-02 || mg:mg169a1:09
