Accession,BioSample,Organism_Name,Species,Isolate,Segment,GenBank_Title,Length,Nuc_Completeness,Geo_Location,Country,Host,Collection_Date
MZ494479,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Comoros:Nzwani13.5,DNA-B,"East African cassava mosaic virus isolate Comoros:Nzwani13.5 segment DNA-B, complete sequence",2764,complete,Comoros,Comoros,Manihot esculenta,2019-07-11
MH646694,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMVCM_GH:AK18B:13,DNA-B,"East African cassava mosaic virus isolate EACMVCM_GH:AK18B:13 segment DNA-B, complete sequence",2733,complete,Ghana,Ghana,Manihot esculenta,2013-08
LC832864,,East African cassava mosaic virus,Begomovirus manihotisafricaense,Forecariah:23,DNA-B,"East African cassava mosaic virus Forecariah:23 DNA, segment DNA-B, complete genome",2774,complete,Guinea:Forecariah,Guinea,Manihot esculenta,2023-07-31
JX679247,,East African cassava mosaic virus,Begomovirus manihotisafricaense,,DNA-B,"East African cassava mosaic virus clone EACMV[MA;4N;07]B segment DNA-B, complete sequence",2758,complete,Malawi,Malawi,Manihot esculenta,
HE979776,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI39:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI39:12]DNA-B, complete genome",2773,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979779,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI44:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI44:12]DNA-B, complete genome",2755,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979780,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI52:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI52:12]DNA-B, complete genome",2773,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979777,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI56:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI56:12]DNA-B, complete genome",2773,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
HE979778,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-UG[UG:Nam:CMD-MI61:12]DNA-B,DNA-B,"East African cassava mosaic virus segment DNA-B, isolate EACMV-UG[UG:Nam:CMD-MI61:12]DNA-B, complete genome",2775,complete,Uganda:Namulonge,Uganda,Manihot esculenta,2012
AF230375,,East African cassava mosaic virus-[Uganda1],Begomovirus manihotisafricaense,,DNA-B,"East African cassava mosaic virus-[Uganda1] DNA-B, complete sequence",2780,complete,,,,
LC832865,,East African cassava mosaic virus,Begomovirus manihotisafricaense,EACMV-Ug-DNA-B,,"East African cassava mosaic virus EACMV-Ug-DNA-B DNA, complete genome",2777,complete,Guinea:Forecariah,Guinea,,2023-07-31
